ticker,logged_date,entry_price,score,conviction,eval_date,outcome,realized_return_pct,evaluated_on
ROKU,2026-08-19,156.8,50.1,HIGH,,pending,,
BYND,2026-08-19,14.08,40.0,HIGH,,pending,,
ABNB,2026-08-19,186.39,22.0,LOW,,pending,,
BULL,2026-08-20,8.85,70.0,HIGH,,pending,,
BTC-USD,2026-08-20,72702.88,67.0,HIGH,,pending,,
DOGE-USD,2026-08-20,0.08,55.0,HIGH,,pending,,
BYND,2026-08-20,14.48,40.0,HIGH,,pending,,
COIN,2026-08-20,172.35,31.2,MODERATE,,pending,,
ABNB,2026-08-20,185.0,22.0,LOW,,pending,,
DOGE-USD,2026-08-21,0.09,82.0,HIGH,,pending,,
BULL,2026-08-21,8.78,70.0,HIGH,,pending,,
BTC-USD,2026-08-21,78233.66,67.0,HIGH,,pending,,
COIN,2026-08-21,186.49,63.0,HIGH,,pending,,
ARKG,2026-08-21,49.45,37.0,MODERATE,,pending,,
ABNB,2026-08-21,187.3,22.0,LOW,,pending,,
